Stabilizing video number: 0 with name: Crowd/0.avi
Exaggerated transform parameters in frame 57, X: 47, Y: -1, S: 1, R: 3.1e-10
Exaggerated transform parameters in frame 213, X: -46, Y: 16, S: 0.91, R: -0.027
Exaggerated transform parameters in frame 214, X: -48, Y: 12, S: 0.91, R: -0.014
Exaggerated transform parameters in frame 215, X: -50, Y: 7.2, S: 0.91, R: -0.0022
Exaggerated transform parameters in frame 216, X: -48, Y: 6.1, S: 0.9, R: -0.00073
Exaggerated transform parameters in frame 217, X: -47, Y: 3.9, S: 0.9, R: 0.0028
Exaggerated transform parameters in frame 218, X: -46, Y: 0.45, S: 0.89, R: 0.01
Exaggerated transform parameters in frame 219, X: -49, Y: -4, S: 0.91, R: 0.014
Exaggerated transform parameters in frame 220, X: -51, Y: -5.2, S: 0.92, R: 0.0071
Exaggerated transform parameters in frame 221, X: -50, Y: -6.6, S: 0.92, R: 0.0068
Exaggerated transform parameters in frame 222, X: -48, Y: -7.6, S: 0.93, R: 0.0095
Exaggerated transform parameters in frame 223, X: -49, Y: -6.1, S: 0.94, R: 0.0045
Exaggerated transform parameters in frame 224, X: -47, Y: -2.6, S: 0.94, R: -0.0024
Exaggerated transform parameters in frame 225, X: -51, Y: -1.9, S: 0.96, R: -0.0082
Exaggerated transform parameters in frame 226, X: -46, Y: 1.1, S: 0.95, R: -0.014
Exaggerated transform parameters in frame 230, X: -40, Y: 22, S: 0.94, R: -0.059
Exaggerated transform parameters in frame 231, X: -38, Y: 27, S: 0.94, R: -0.054
Exaggerated transform parameters in frame 234, X: -25, Y: 34, S: 0.92, R: -0.017
Exaggerated transform parameters in frame 235, X: -24, Y: 35, S: 0.91, R: -0.017
Exaggerated transform parameters in frame 236, X: -24, Y: 32, S: 0.91, R: -0.018
Erroneous transform parameters in frame 237, X: -86, Y: 6.1, S: 1.1, R: 0.00062
Exaggerated transform parameters in frame 241, X: 34, Y: -13, S: 0.86, R: 0.029
Erroneous transform parameters in frame 243, X: 48, Y: -57, S: 0.92, R: 0.19
Exaggerated transform parameters in frame 249, X: 24, Y: -12, S: 0.87, R: 0.052
Exaggerated transform parameters in frame 264, X: -5.4, Y: 31, S: 0.95, R: -0.0027
Exaggerated transform parameters in frame 265, X: -8.9, Y: 32, S: 0.95, R: -0.009
Exaggerated transform parameters in frame 266, X: -11, Y: 38, S: 0.95, R: -0.033
Exaggerated transform parameters in frame 267, X: -9.9, Y: 36, S: 0.94, R: -0.048
Exaggerated transform parameters in frame 268, X: -4.6, Y: 36, S: 0.93, R: -0.058
Exaggerated transform parameters in frame 269, X: -5.6, Y: 33, S: 0.93, R: -0.054
Exaggerated transform parameters in frame 270, X: -3, Y: 32, S: 0.92, R: -0.049
Exaggerated transform parameters in frame 271, X: -3.6, Y: 33, S: 0.92, R: -0.05
Exaggerated transform parameters in frame 272, X: -4.6, Y: 34, S: 0.92, R: -0.055
Exaggerated transform parameters in frame 273, X: -3.8, Y: 31, S: 0.92, R: -0.05
Exaggerated transform parameters in frame 274, X: 0.41, Y: 32, S: 0.92, R: -0.049
Exaggerated transform parameters in frame 275, X: 5, Y: 31, S: 0.91, R: -0.046
Exaggerated transform parameters in frame 288, X: 16, Y: 1.4, S: 0.96, R: -0.059
Exaggerated transform parameters in frame 293, X: 9.7, Y: -31, S: 1, R: -0.029
Exaggerated transform parameters in frame 294, X: 12, Y: -33, S: 1, R: -0.029
Exaggerated transform parameters in frame 301, X: 37, Y: -40, S: 1, R: -0.02
Exaggerated transform parameters in frame 302, X: 41, Y: -30, S: 0.99, R: -0.018
Exaggerated transform parameters in frame 303, X: 44, Y: -31, S: 0.99, R: -0.016
Exaggerated transform parameters in frame 304, X: 49, Y: -29, S: 0.98, R: -0.01
Exaggerated transform parameters in frame 305, X: 47, Y: -28, S: 0.98, R: -0.0068
Exaggerated transform parameters in frame 306, X: 47, Y: -26, S: 0.98, R: -0.002
Exaggerated transform parameters in frame 307, X: 47, Y: -23, S: 0.97, R: 0.0026
Exaggerated transform parameters in frame 308, X: 46, Y: -21, S: 0.97, R: 0.0067
Exaggerated transform parameters in frame 309, X: 48, Y: -19, S: 0.97, R: 0.0098
Exaggerated transform parameters in frame 310, X: 46, Y: -17, S: 0.97, R: 0.01
Exaggerated transform parameters in frame 311, X: 50, Y: -15, S: 0.96, R: 0.011
Exaggerated transform parameters in frame 312, X: 49, Y: -14, S: 0.96, R: 0.0077
Exaggerated transform parameters in frame 313, X: 48, Y: -13, S: 0.96, R: 0.0071
Exaggerated transform parameters in frame 314, X: 48, Y: -15, S: 0.96, R: 0.008
Exaggerated transform parameters in frame 315, X: 50, Y: -15, S: 0.96, R: 0.01
Exaggerated transform parameters in frame 316, X: 48, Y: -15, S: 0.96, R: 0.0093
Exaggerated transform parameters in frame 317, X: 51, Y: -14, S: 0.96, R: 0.009
Exaggerated transform parameters in frame 318, X: 46, Y: -13, S: 0.96, R: 0.0076
Exaggerated transform parameters in frame 319, X: 49, Y: -9.8, S: 0.95, R: 0.0032
Exaggerated transform parameters in frame 320, X: 47, Y: -7, S: 0.95, R: -0.0011
Exaggerated transform parameters in frame 321, X: 47, Y: -5.3, S: 0.95, R: -0.0046
Exaggerated transform parameters in frame 322, X: 47, Y: -2.5, S: 0.95, R: -0.01
Exaggerated transform parameters in frame 323, X: 46, Y: -7.2, S: 0.95, R: 0.00048
Exaggerated transform parameters in frame 324, X: 47, Y: -4.6, S: 0.95, R: -0.0026
Exaggerated transform parameters in frame 325, X: 49, Y: -1.2, S: 0.95, R: -0.0033
Exaggerated transform parameters in frame 326, X: 47, Y: 2, S: 0.95, R: -0.0031
Exaggerated transform parameters in frame 327, X: 48, Y: 5.9, S: 0.95, R: -0.0058
Exaggerated transform parameters in frame 328, X: 46, Y: 9, S: 0.95, R: -0.0052
Exaggerated transform parameters in frame 329, X: 47, Y: 12, S: 0.95, R: -0.0063
Exaggerated transform parameters in frame 330, X: 49, Y: 15, S: 0.95, R: -0.0084
Exaggerated transform parameters in frame 331, X: 49, Y: 18, S: 0.95, R: -0.0081
Exaggerated transform parameters in frame 332, X: 48, Y: 20, S: 0.94, R: -0.0044
Exaggerated transform parameters in frame 333, X: 50, Y: 23, S: 0.94, R: -0.003
Exaggerated transform parameters in frame 334, X: 49, Y: 21, S: 0.93, R: 0.0045
Exaggerated transform parameters in frame 335, X: 46, Y: 19, S: 0.93, R: 0.0062
Exaggerated transform parameters in frame 336, X: 49, Y: 19, S: 0.92, R: 0.01
Exaggerated transform parameters in frame 337, X: 45, Y: 17, S: 0.93, R: 0.013
Exaggerated transform parameters in frame 338, X: 46, Y: 19, S: 0.93, R: 0.013
Exaggerated transform parameters in frame 366, X: 48, Y: -7, S: 1, R: -1.2e-07
Exaggerated transform parameters in frame 367, X: 52, Y: -6, S: 1, R: 2.5e-07
Exaggerated transform parameters in frame 368, X: 50, Y: -4, S: 1, R: 5.4e-08
Exaggerated transform parameters in frame 369, X: 49, Y: -1, S: 1, R: -2e-09
Exaggerated transform parameters in frame 370, X: 46, Y: 2, S: 1, R: 2.8e-09
Exaggerated transform parameters in frame 487, X: 48, Y: -3.9, S: 0.97, R: 0.0095
Exaggerated transform parameters in frame 488, X: 47, Y: -4, S: 0.96, R: 0.0058
Exaggerated transform parameters in frame 489, X: 45, Y: -6.2, S: 0.97, R: 0.0044
Exaggerated transform parameters in frame 490, X: 45, Y: -9.2, S: 0.97, R: 0.0022
Exaggerated transform parameters in frame 491, X: 45, Y: -12, S: 0.97, R: 0.0026
Exaggerated transform parameters in frame 492, X: 49, Y: -9.4, S: 0.97, R: -0.0029
Exaggerated transform parameters in frame 493, X: 48, Y: -6.8, S: 0.97, R: -0.0052
Exaggerated transform parameters in frame 494, X: 50, Y: -2.1, S: 0.97, R: -0.0069
Exaggerated transform parameters in frame 495, X: 52, Y: 0.36, S: 0.97, R: -0.0032
Exaggerated transform parameters in frame 496, X: 47, Y: 1.8, S: 0.97, R: -0.0032
Exaggerated transform parameters in frame 502, X: 45, Y: -2, S: 1, R: 2.3e-09
Exaggerated transform parameters in frame 503, X: 49, Y: -1, S: 1, R: -2e-09
Exaggerated transform parameters in frame 504, X: 48, Y: -1, S: 1, R: 2e-09
Exaggerated transform parameters in frame 505, X: 48, Y: -1, S: 1, R: 2e-09
Exaggerated transform parameters in frame 506, X: 47, Y: -1, S: 1, R: 3.1e-10
Exaggerated transform parameters in frame 507, X: 46, Y: -1, S: 1, R: 6.1e-09
Exaggerated transform parameters in frame 508, X: 45, Y: -2, S: 1, R: 2.3e-09
Exaggerated transform parameters in frame 509, X: 45, Y: -3, S: 1, R: 2.3e-08
Exaggerated transform parameters in frame 511, X: 46, Y: -6, S: 1, R: -9.5e-08
Exaggerated transform parameters in frame 512, X: 46, Y: -8, S: 1, R: 4.6e-07
Exaggerated transform parameters in frame 513, X: 46, Y: -10, S: 1, R: 8.5e-07
Exaggerated transform parameters in frame 514, X: 46, Y: -13, S: 1, R: 0.0047
Exaggerated transform parameters in frame 515, X: 48, Y: -9.3, S: 0.99, R: 7.1e-05
Exaggerated transform parameters in frame 516, X: 45, Y: -8, S: 1, R: 1.3e-06
Exaggerated transform parameters in frame 517, X: 47, Y: -7, S: 1, R: 2.2e-07
Exaggerated transform parameters in frame 518, X: 46, Y: -8, S: 1, R: 4.6e-07
Exaggerated transform parameters in frame 519, X: 46, Y: -9, S: 1, R: 3.8e-08
Exaggerated transform parameters in frame 520, X: 46, Y: -11, S: 1, R: 1.3e-08
Exaggerated transform parameters in frame 521, X: 52, Y: -14, S: 0.99, R: 0.0095
Exaggerated transform parameters in frame 522, X: 53, Y: -13, S: 0.98, R: 0.011
Exaggerated transform parameters in frame 523, X: 48, Y: -13, S: 0.99, R: 0.0078
Exaggerated transform parameters in frame 524, X: 49, Y: -11, S: 0.99, R: 0.0012
Exaggerated transform parameters in frame 525, X: 46, Y: -11, S: 1, R: 1.3e-08
Exaggerated transform parameters in frame 526, X: 49, Y: -11, S: 1, R: 6.3e-07
Exaggerated transform parameters in frame 527, X: 49, Y: -7.6, S: 0.98, R: -0.0038
Exaggerated transform parameters in frame 528, X: 46, Y: -5.9, S: 0.98, R: -0.0086
Exaggerated transform parameters in frame 531, X: 45, Y: -3.6, S: 0.97, R: -0.018
Exaggerated transform parameters in frame 532, X: 47, Y: -2, S: 0.97, R: -0.02
Exaggerated transform parameters in frame 533, X: 47, Y: -0.32, S: 0.96, R: -0.026
Exaggerated transform parameters in frame 534, X: 48, Y: -8.6, S: 0.99, R: -0.0062
Exaggerated transform parameters in frame 535, X: 45, Y: -11, S: 1, R: 6.7e-08
Exaggerated transform parameters in frame 536, X: 47, Y: -11, S: 1, R: 8.3e-07
Exaggerated transform parameters in frame 537, X: 46, Y: -11, S: 1, R: 1.3e-08
Exaggerated transform parameters in frame 538, X: 46, Y: -10, S: 1, R: 8.5e-07
Exaggerated transform parameters in frame 539, X: 46, Y: -9, S: 1, R: 3.8e-08
Exaggerated transform parameters in frame 540, X: 46, Y: -8, S: 1, R: 4.6e-07
Exaggerated transform parameters in frame 541, X: 45, Y: -8, S: 1, R: 1.3e-06
Exaggerated transform parameters in frame 543, X: 45, Y: -10, S: 1, R: 2e-06
Exaggerated transform parameters in frame 544, X: 45, Y: -11, S: 1, R: 6.7e-08
Exaggerated transform parameters in frame 545, X: 45, Y: -11, S: 1, R: 6.7e-08
Exaggerated transform parameters in frame 557, X: 51, Y: 7, S: 1, R: -3.2e-07
Exaggerated transform parameters in frame 558, X: 51, Y: 10, S: 1, R: 6.8e-07
Exaggerated transform parameters in frame 559, X: 51, Y: 13, S: 1, R: 2.9e-08
Exaggerated transform parameters in frame 560, X: 49, Y: 16, S: 1, R: 5e-07
Exaggerated transform parameters in frame 561, X: 48, Y: 19, S: 1, R: -1.8e-08
Exaggerated transform parameters in frame 562, X: 47, Y: 21, S: 1, R: 0.0033
Exaggerated transform parameters in frame 568, X: 45, Y: 26, S: 0.97, R: 0.027
Exaggerated transform parameters in frame 651, X: 27, Y: -5.3, S: 0.9, R: -0.02
Exaggerated transform parameters in frame 748, X: 47, Y: -11, S: 1, R: 8.3e-07
Exaggerated transform parameters in frame 749, X: 49, Y: -8, S: 1, R: -5.8e-08
Exaggerated transform parameters in frame 750, X: 48, Y: -5, S: 1, R: -1.6e-07
Exaggerated transform parameters in frame 751, X: 46, Y: -2.1, S: 1, R: 2.1e-05
Measurement of stabilizing video number: 5 with name: Crowd/5.avi
Cropping ratio: 0.91
Distortion value: 0.91
Stability score: 0.78
X translation stability score: 0.78
Y translation stability score: 1
Rotation stability score: 0.98
Stabilizing video number: 6 with name: Crowd/6.avi
Exaggerated transform parameters in frame 62, X: 46, Y: -13, S: 1, R: -8.3e-08
Exaggerated transform parameters in frame 63, X: 49, Y: -11, S: 1, R: 6.3e-07
Exaggerated transform parameters in frame 64, X: 50, Y: -7, S: 1, R: 4.1e-07
Exaggerated transform parameters in frame 65, X: 48, Y: -2, S: 1, R: -5.1e-09
Exaggerated transform parameters in frame 66, X: 45, Y: 2.6, S: 1, R: 0.0015
Exaggerated transform parameters in frame 128, X: 45, Y: 20, S: 0.98, R: 0.004
Exaggerated transform parameters in frame 129, X: 48, Y: 19, S: 0.97, R: 0.0034
Exaggerated transform parameters in frame 130, X: 47, Y: 18, S: 0.97, R: 0.0017
Exaggerated transform parameters in frame 131, X: 49, Y: 17, S: 0.97, R: 0.0016
Exaggerated transform parameters in frame 132, X: 48, Y: 18, S: 0.97, R: 0.0019
Exaggerated transform parameters in frame 133, X: 50, Y: 21, S: 0.96, R: 0.0025
Exaggerated transform parameters in frame 134, X: 48, Y: 25, S: 0.96, R: -2e-05
Exaggerated transform parameters in frame 135, X: 48, Y: 27, S: 0.96, R: 0.0016
Exaggerated transform parameters in frame 136, X: 47, Y: 30, S: 0.96, R: 0.0017
Exaggerated transform parameters in frame 137, X: 46, Y: 31, S: 0.95, R: 0.0024
Exaggerated transform parameters in frame 138, X: 47, Y: 31, S: 0.95, R: 0.004
Exaggerated transform parameters in frame 157, X: -2.2, Y: 24, S: 0.9, R: 0.036
Exaggerated transform parameters in frame 207, X: 25, Y: -31, S: 0.96, R: 0.016
Exaggerated transform parameters in frame 208, X: 27, Y: -31, S: 0.96, R: 0.016
Exaggerated transform parameters in frame 210, X: 27, Y: -31, S: 0.96, R: 0.013
Exaggerated transform parameters in frame 215, X: 15, Y: -31, S: 0.96, R: 0.0053
Exaggerated transform parameters in frame 216, X: 13, Y: -31, S: 0.96, R: 0.0064
Exaggerated transform parameters in frame 217, X: 11, Y: -31, S: 0.95, R: 0.004
Exaggerated transform parameters in frame 218, X: 8.5, Y: -31, S: 0.96, R: 0.00083
Exaggerated transform parameters in frame 219, X: 5.8, Y: -31, S: 0.96, R: -0.0042
Exaggerated transform parameters in frame 220, X: 5.1, Y: -32, S: 0.96, R: -0.0013
Exaggerated transform parameters in frame 221, X: 4, Y: -32, S: 0.96, R: 0.002
Exaggerated transform parameters in frame 222, X: 4, Y: -30, S: 0.96, R: 0.0056
Exaggerated transform parameters in frame 244, X: -28, Y: -40, S: 0.99, R: 0.074
Exaggerated transform parameters in frame 257, X: -24, Y: -38, S: 1.1, R: 0.053
Exaggerated transform parameters in frame 258, X: -20, Y: -34, S: 1.1, R: 0.058
Exaggerated transform parameters in frame 260, X: -12, Y: -35, S: 1, R: 0.056
Exaggerated transform parameters in frame 262, X: -6.3, Y: -32, S: 1, R: 0.04
Exaggerated transform parameters in frame 264, X: -2.1, Y: -31, S: 0.99, R: 0.043
Exaggerated transform parameters in frame 265, X: -1.7, Y: -32, S: 0.99, R: 0.049
Exaggerated transform parameters in frame 266, X: -3.6, Y: -31, S: 0.98, R: 0.049
Exaggerated transform parameters in frame 271, X: 13, Y: -18, S: 0.93, R: 0.057
Exaggerated transform parameters in frame 275, X: 19, Y: 8.3, S: 0.9, R: 0.039
Exaggerated transform parameters in frame 276, X: 21, Y: 11, S: 0.89, R: 0.042
Exaggerated transform parameters in frame 277, X: 24, Y: 14, S: 0.88, R: 0.045
Exaggerated transform parameters in frame 278, X: 21, Y: 15, S: 0.89, R: 0.049
Exaggerated transform parameters in frame 279, X: 19, Y: 13, S: 0.9, R: 0.055
Exaggerated transform parameters in frame 280, X: 16, Y: 13, S: 0.9, R: 0.054
Exaggerated transform parameters in frame 281, X: 16, Y: 15, S: 0.89, R: 0.048
Exaggerated transform parameters in frame 282, X: 17, Y: 19, S: 0.89, R: 0.043
Exaggerated transform parameters in frame 283, X: 13, Y: 18, S: 0.9, R: 0.042
Exaggerated transform parameters in frame 284, X: 11, Y: 19, S: 0.89, R: 0.038
Exaggerated transform parameters in frame 290, X: -69, Y: 9.6, S: 0.96, R: -0.019
Exaggerated transform parameters in frame 291, X: -46, Y: 4.1, S: 0.96, R: -0.011
Exaggerated transform parameters in frame 292, X: -47, Y: 0.88, S: 0.95, R: -0.0032
Exaggerated transform parameters in frame 293, X: -48, Y: -1.4, S: 0.94, R: 0.0035
Exaggerated transform parameters in frame 294, X: -50, Y: -1.3, S: 0.95, R: 0.0039
Erroneous transform parameters in frame 295, X: -73, Y: -59, S: 1.1, R: 0.15
Exaggerated transform parameters in frame 296, X: -46, Y: 0.45, S: 0.95, R: -0.00095
Exaggerated transform parameters in frame 297, X: -49, Y: -1.5, S: 0.95, R: -0.0025
Exaggerated transform parameters in frame 298, X: -48, Y: -5, S: 0.95, R: -0.0051
Exaggerated transform parameters in frame 299, X: -47, Y: -11, S: 0.95, R: -0.002
Exaggerated transform parameters in frame 320, X: -46, Y: 6.7, S: 0.95, R: 0.02
Exaggerated transform parameters in frame 321, X: -46, Y: 6.1, S: 0.94, R: 0.015
Exaggerated transform parameters in frame 322, X: -47, Y: 4.3, S: 0.95, R: 0.01
Exaggerated transform parameters in frame 323, X: -46, Y: 0.45, S: 0.96, R: 0.0094
Exaggerated transform parameters in frame 352, X: -11, Y: 17, S: 0.9, R: 0.0041
Exaggerated transform parameters in frame 355, X: -13, Y: 13, S: 0.9, R: 0.0098
Exaggerated transform parameters in frame 358, X: -12, Y: 10, S: 0.9, R: 0.01
Exaggerated transform parameters in frame 359, X: -13, Y: 7.4, S: 0.9, R: 0.012
Exaggerated transform parameters in frame 375, X: -46, Y: 26, S: 0.91, R: -0.024
Exaggerated transform parameters in frame 376, X: -49, Y: 31, S: 0.91, R: -0.04
Exaggerated transform parameters in frame 377, X: -46, Y: 32, S: 0.9, R: -0.049
Exaggerated transform parameters in frame 378, X: -47, Y: 31, S: 0.9, R: -0.055
Exaggerated transform parameters in frame 379, X: -46, Y: 29, S: 0.9, R: -0.05
Exaggerated transform parameters in frame 392, X: -41, Y: 24, S: 0.92, R: -0.051
Exaggerated transform parameters in frame 394, X: -38, Y: 21, S: 0.93, R: -0.054
Exaggerated transform parameters in frame 395, X: -34, Y: 22, S: 0.93, R: -0.053
Exaggerated transform parameters in frame 400, X: -22, Y: 15, S: 0.93, R: -0.053
Exaggerated transform parameters in frame 401, X: -18, Y: 11, S: 0.93, R: -0.051
Exaggerated transform parameters in frame 430, X: -48, Y: 3, S: 1, R: 2.4e-08
Exaggerated transform parameters in frame 431, X: -47, Y: 1.3, S: 0.99, R: -0.0016
Exaggerated transform parameters in frame 432, X: -51, Y: -2.1, S: 1, R: 0.00015
Exaggerated transform parameters in frame 433, X: -49, Y: -3, S: 1, R: 1.6e-09
Exaggerated transform parameters in frame 434, X: -49, Y: -3, S: 1, R: 1.6e-09
Exaggerated transform parameters in frame 435, X: -50, Y: -1, S: 1, R: -9e-09
Exaggerated transform parameters in frame 436, X: -50, Y: 2, S: 1, R: -1.4e-08
Exaggerated transform parameters in frame 437, X: -51, Y: 5, S: 1, R: 3.2e-08
Exaggerated transform parameters in frame 438, X: -51, Y: 9, S: 1, R: 9.9e-07
Exaggerated transform parameters in frame 439, X: -49, Y: 12, S: 1, R: 1.5e-06
Exaggerated transform parameters in frame 440, X: -48, Y: 14, S: 1, R: -3e-07
Exaggerated transform parameters in frame 441, X: -46, Y: 17, S: 0.99, R: -0.003
Exaggerated transform parameters in frame 442, X: -51, Y: 20, S: 1, R: -0.012
Exaggerated transform parameters in frame 443, X: -48, Y: 21, S: 0.99, R: -0.015
Exaggerated transform parameters in frame 444, X: -49, Y: 21, S: 0.99, R: -0.017
Exaggerated transform parameters in frame 445, X: -51, Y: 22, S: 0.99, R: -0.024
Exaggerated transform parameters in frame 446, X: -49, Y: 22, S: 0.99, R: -0.024
Exaggerated transform parameters in frame 447, X: -49, Y: 20, S: 0.99, R: -0.019
Exaggerated transform parameters in frame 448, X: -47, Y: 19, S: 0.99, R: -0.018
Exaggerated transform parameters in frame 468, X: -35, Y: 7.4, S: 0.93, R: -0.052
Exaggerated transform parameters in frame 469, X: -35, Y: 6.5, S: 0.93, R: -0.053
Exaggerated transform parameters in frame 470, X: -33, Y: 5.9, S: 0.92, R: -0.052
Exaggerated transform parameters in frame 472, X: -27, Y: 6.8, S: 0.92, R: -0.053
Exaggerated transform parameters in frame 473, X: -51, Y: -7.9, S: 0.97, R: -0.024
Exaggerated transform parameters in frame 494, X: -1.9, Y: -31, S: 0.98, R: 0.014
Exaggerated transform parameters in frame 495, X: 0.16, Y: -33, S: 0.97, R: 0.018
Exaggerated transform parameters in frame 496, X: 2.5, Y: -34, S: 0.97, R: 0.024
Exaggerated transform parameters in frame 497, X: 2.9, Y: -33, S: 0.97, R: 0.024
Exaggerated transform parameters in frame 498, X: 2.3, Y: -34, S: 0.98, R: 0.025
Exaggerated transform parameters in frame 499, X: 1.8, Y: -33, S: 0.98, R: 0.022
Exaggerated transform parameters in frame 500, X: 4.5, Y: -36, S: 0.97, R: 0.027
Exaggerated transform parameters in frame 501, X: 3, Y: -35, S: 0.98, R: 0.03
Exaggerated transform parameters in frame 502, X: 6.4, Y: -32, S: 0.98, R: 0.036
Exaggerated transform parameters in frame 513, X: 46, Y: -18, S: 0.95, R: 0.032
Exaggerated transform parameters in frame 575, X: -45, Y: -11, S: 1, R: -6.7e-08
Exaggerated transform parameters in frame 576, X: -46, Y: -11, S: 1, R: -1.3e-08
Exaggerated transform parameters in frame 577, X: -46, Y: -9, S: 1, R: -3.8e-08
Exaggerated transform parameters in frame 579, X: -45, Y: -5, S: 1, R: -8.9e-08
Exaggerated transform parameters in frame 580, X: -45, Y: -5, S: 1, R: -8.9e-08
Exaggerated transform parameters in frame 583, X: -46, Y: -18, S: 1, R: -6.8e-07
Exaggerated transform parameters in frame 584, X: -45, Y: -23, S: 1, R: 4.8e-08
Exaggerated transform parameters in frame 644, X: -21, Y: -32, S: 1, R: 0.046
Exaggerated transform parameters in frame 656, X: -48, Y: -22, S: 0.98, R: 0.021
Exaggerated transform parameters in frame 657, X: -50, Y: -17, S: 0.99, R: 0.011
Exaggerated transform parameters in frame 658, X: -48, Y: -13, S: 0.98, R: 0.0033
Exaggerated transform parameters in frame 659, X: -49, Y: -11, S: 0.99, R: -0.0031
Exaggerated transform parameters in frame 660, X: -47, Y: -8.6, S: 0.98, R: -0.0088
Exaggerated transform parameters in frame 661, X: -48, Y: -9.1, S: 0.99, R: -0.0093
Exaggerated transform parameters in frame 662, X: -47, Y: -9.1, S: 0.99, R: -0.012
Exaggerated transform parameters in frame 663, X: -46, Y: -9.6, S: 0.99, R: -0.013
Exaggerated transform parameters in frame 664, X: -45, Y: -8.4, S: 0.99, R: -0.018
Exaggerated transform parameters in frame 665, X: -45, Y: -7, S: 0.99, R: -0.023
Exaggerated transform parameters in frame 666, X: -46, Y: -4.5, S: 0.99, R: -0.029
Measurement of stabilizing video number: 6 with name: Crowd/6.avi
Cropping ratio: 0.89
Distortion value: 0.91
Stability score: 0.9
X translation stability score: 0.9
Y translation stability score: 0.97
Rotation stability score: 0.96
Stabilizing video number: 7 with name: Crowd/7.avi
Exaggerated transform parameters in frame 61, X: 45, Y: 21, S: 1, R: -4.4e-07
Exaggerated transform parameters in frame 62, X: 46, Y: 20, S: 1, R: -6.7e-07
Exaggerated transform parameters in frame 63, X: 46, Y: 18, S: 1, R: -6.8e-07
Exaggerated transform parameters in frame 64, X: 46, Y: 16, S: 1, R: 1.4e-07
Exaggerated transform parameters in frame 65, X: 46, Y: 14, S: 1, R: -1.4e-07
Exaggerated transform parameters in frame 66, X: 46, Y: 13, S: 1, R: 8.3e-08
Exaggerated transform parameters in frame 67, X: 46, Y: 12, S: 1, R: 8.8e-08
Exaggerated transform parameters in frame 68, X: 45, Y: 11, S: 1, R: -6.7e-08
Exaggerated transform parameters in frame 69, X: 45, Y: 10, S: 1, R: -2e-06
Exaggerated transform parameters in frame 145, X: -8.7, Y: 33, S: 0.93, R: -0.0028
Exaggerated transform parameters in frame 146, X: -12, Y: 34, S: 0.93, R: -0.0066
Exaggerated transform parameters in frame 147, X: -17, Y: 32, S: 0.92, R: -0.018
Exaggerated transform parameters in frame 148, X: -14, Y: 36, S: 0.9, R: -0.043
Erroneous transform parameters in frame 149, X: -93, Y: -12, S: 1.1, R: 0.013
Exaggerated transform parameters in frame 160, X: -49, Y: 1.8, S: 0.93, R: -0.0031
Exaggerated transform parameters in frame 161, X: -47, Y: 1.2, S: 0.92, R: 0.0029
Exaggerated transform parameters in frame 162, X: -47, Y: 1.5, S: 0.93, R: 0.0045
Exaggerated transform parameters in frame 163, X: -47, Y: 2.2, S: 0.93, R: 0.0016
Exaggerated transform parameters in frame 164, X: -47, Y: 1.8, S: 0.93, R: 0.00068
Exaggerated transform parameters in frame 165, X: -45, Y: 1.8, S: 0.93, R: -0.00055
Exaggerated transform parameters in frame 184, X: -47, Y: 0.18, S: 0.95, R: -0.017
Exaggerated transform parameters in frame 191, X: -45, Y: 6.7, S: 0.95, R: -0.0091
Exaggerated transform parameters in frame 192, X: -49, Y: 5.9, S: 0.96, R: -0.0048
Exaggerated transform parameters in frame 193, X: -48, Y: 7.6, S: 0.97, R: -0.0099
Exaggerated transform parameters in frame 194, X: -48, Y: 7.1, S: 0.97, R: -0.0085
Exaggerated transform parameters in frame 195, X: -48, Y: 5.3, S: 0.97, R: -0.008
Exaggerated transform parameters in frame 196, X: -48, Y: 2.8, S: 0.97, R: -0.0039
Exaggerated transform parameters in frame 197, X: -49, Y: 0.56, S: 0.99, R: -0.0024
Exaggerated transform parameters in frame 198, X: -50, Y: -0.11, S: 1, R: -0.0028
Exaggerated transform parameters in frame 199, X: -47, Y: 1.3, S: 1, R: -0.0042
Exaggerated transform parameters in frame 200, X: -47, Y: 0.83, S: 1, R: -0.0016
Exaggerated transform parameters in frame 201, X: -47, Y: 1.5, S: 0.99, R: -0.0027
Exaggerated transform parameters in frame 202, X: -49, Y: -1, S: 1, R: 2e-09
Exaggerated transform parameters in frame 203, X: -47, Y: -2, S: 1, R: 3.3e-10
Exaggerated transform parameters in frame 204, X: -46, Y: -4, S: 1, R: 6e-08
Exaggerated transform parameters in frame 205, X: -46, Y: -6, S: 1, R: 9.5e-08
Exaggerated transform parameters in frame 206, X: -46, Y: -9, S: 1, R: -3.8e-08
Exaggerated transform parameters in frame 221, X: -46, Y: -11, S: 1, R: -1.3e-08
Exaggerated transform parameters in frame 222, X: -47, Y: -9, S: 1, R: 4e-07
Exaggerated transform parameters in frame 223, X: -46, Y: -8, S: 1, R: -4.6e-07
Exaggerated transform parameters in frame 224, X: -46, Y: -7, S: 1, R: 1.7e-07
Exaggerated transform parameters in frame 225, X: -45, Y: -6, S: 1, R: 3.2e-08
Exaggerated transform parameters in frame 226, X: -45, Y: -5, S: 1, R: -8.9e-08
Exaggerated transform parameters in frame 265, X: 25, Y: -6.4, S: 0.87, R: 0.054
Exaggerated transform parameters in frame 266, X: 25, Y: -5.2, S: 0.89, R: 0.052
Exaggerated transform parameters in frame 267, X: -59, Y: -26, S: 1.1, R: 0.0045
